firm_id,region,revenue
F0267,Central,577.38
F0268,Central,32.18
F0269,West,26.76
F0270,Central,152.38
F0271,Central,322.42
F0272,Central,528.03
F0273,West,252.99
F0274,East,22.48
F0275,Central,26.33
F0276,Central,114.09
F0277,West,184.7
F0278,Central,257.32
F0279,East,80.57
F0280,West,226.43
F0281,East,91.52
F0282,West,78.94
F0283,West,321.39
F0284,Central,72.77
F0285,Central,363.26
F0286,East,41.88
F0287,Central,31.36
F0288,East,74.35
F0289,East,29.4
F0290,East,128.96
F0291,East,90.34
F0292,Central,56.97
F0293,Central,256.42
F0294,East,124.02
F0295,East,94.38
F0296,East,803.56
F0297,East,186.18
F0298,Central,101.09
F0299,Central,26.23
F0300,East,365.11
F0301,West,238.5
F0302,East,100.57
F0303,East,156.0
F0304,Central,129.59
F0305,East,26.96
F0306,Central,68.04
F0307,East,460.13
F0308,Central,23.16
F0309,West,195.94
F0310,Central,62.9
F0311,Central,133.21
F0312,Central,98.07
F0313,East,46.73
F0314,Central,158.54
F0315,West,28.47
F0316,West,156.38
F0317,Central,54.59
F0318,East,286.0
F0319,Central,29.15
F0320,East,281.04
F0321,West,114.98
F0322,West,94.82
F0323,Central,136.99
F0324,East,182.22
F0325,Central,79.39
F0326,East,312.7
F0327,West,162.45
F0328,Central,62.76
F0329,East,145.51
F0330,East,75.35
F0331,East,108.63
F0332,East,38.84
F0333,Central,758.83
F0334,West,395.47
F0335,Central,46.57
F0336,East,1137.7
F0337,Central,180.18
F0338,East,54.79
F0339,Central,197.13
F0340,Central,64.66
F0341,East,73.57
F0342,East,127.73
F0343,East,57.2
F0344,Central,22.49
F0345,West,45.91
F0346,Central,95.86
F0347,West,34.97
F0348,East,629.17
F0349,West,268.85
F0350,East,75.38
F0351,Central,70.57
F0352,East,89.73
F0353,Central,50.0
F0354,East,198.24
F0355,East,85.61
F0356,East,201.51
F0357,East,153.01
F0358,East,79.24
F0359,East,200.42
F0360,East,208.61
F0361,Central,65.21
F0362,East,611.26
F0363,Central,253.88
F0364,Central,41.11
F0365,East,39.96
F0366,Central,30.08
F0367,Central,160.46
F0368,Central,90.57
F0369,West,123.59
F0370,West,227.64
F0371,East,39.15
F0372,East,113.31
F0373,East,104.04
F0374,East,161.79
F0375,East,214.17
F0376,East,80.87
F0377,East,22.84
F0378,East,139.22
F0379,East,500.32
F0380,East,115.39
F0381,East,33.58
F0382,Central,607.49
F0383,East,141.16
F0384,West,201.04
F0385,Central,55.23
F0386,West,55.91
F0387,Central,135.99
F0388,East,348.87
F0389,Central,184.02
F0390,Central,37.61
F0391,West,137.53
F0392,Central,206.43
F0393,West,169.06
F0394,Central,82.15
F0395,East,31.73
F0396,East,73.09
F0397,Central,231.18
F0398,West,319.41
F0399,East,204.08
F0400,Central,113.1
F0401,West,611.76
F0402,East,136.93
F0403,East,40.3
F0404,East,153.49
F0405,East,212.78
F0406,Central,100.68
F0407,East,451.84
F0408,Central,123.75
F0409,Central,120.13
F0410,West,69.75
F0411,Central,239.15
F0412,East,157.73
F0413,Central,37.44
F0414,East,352.6
F0415,Central,80.54
F0416,Central,46.03
F0417,Central,143.22
F0418,Central,52.5
F0419,West,160.34
F0420,Central,72.93
F0421,East,24.38
F0422,Central,54.87
F0423,East,86.7
F0424,Central,25.65
F0425,East,179.43
F0426,Central,74.14
F0427,Central,310.68
F0428,West,386.04
F0429,West,33.36
F0430,West,456.97
F0431,East,89.49
F0432,West,193.86
F0433,Central,289.4
F0434,East,462.04
F0435,East,86.76
F0436,East,90.0
F0437,Central,64.78
F0438,East,110.3
F0439,Central,127.33
F0440,East,47.34
F0441,East,254.61
F0442,East,767.06
F0443,East,68.2
F0444,East,89.1
F0445,West,80.38
F0446,East,138.34
F0447,Central,55.9
F0448,West,56.12
F0449,Central,38.0
F0450,West,96.0
F0451,West,81.6
F0452,East,157.38
F0453,East,26.32
F0454,East,150.13
F0455,West,26.13
F0456,East,346.16
F0457,West,54.46
F0458,West,87.43
F0459,East,226.62
F0460,East,394.29
F0461,East,410.71
F0462,Central,378.26
F0463,West,149.25
F0464,Central,40.74
F0465,West,47.94
F0466,East,91.02
F0467,East,197.72
F0468,East,91.51
F0469,Central,104.27
F0470,West,100.9
F0471,Central,896.91
F0472,East,19.08
F0473,Central,50.36
F0474,West,48.63
F0475,East,175.79
F0476,East,469.1
F0477,Central,28.05
F0478,Central,128.9
F0479,Central,176.32
F0480,East,18.8
F0481,East,363.22
F0482,East,31.0
F0483,East,101.88
F0484,West,53.39
F0485,East,46.08
F0486,Central,44.32
F0487,East,56.02
F0488,East,63.81
F0489,East,40.92
F0490,East,97.99
F0491,Central,201.97
F0492,East,334.82
F0493,East,96.08
F0494,East,94.59
F0495,East,49.92
F0496,Central,58.09
F0497,East,50.85
F0498,Central,60.38
F0499,West,276.52
F0500,East,92.32
F0501,Central,34.6
F0502,East,255.71
F0503,East,434.99
F0504,East,97.17
F0505,West,83.28
F0506,East,57.3
F0507,East,120.19
F0508,East,88.07
F0509,East,52.98
F0510,East,319.24
F0511,Central,21.97
F0512,Central,145.66
F0513,East,19.4
F0514,Central,110.96
F0515,West,72.2
F0516,Central,361.68
F0517,West,93.08
F0518,East,94.04
F0519,Central,31.59
F0520,East,825.13
F0521,Central,37.27
F0522,Central,209.77
F0523,East,61.15
F0524,East,45.05
F0525,East,72.25
F0526,East,47.56
F0527,Central,244.46
F0528,West,50.7
F0529,East,144.36
F0530,East,84.51
F0531,Central,30.61
F0532,Central,29.54
F0533,Central,80.06
F0534,East,245.16
F0535,East,26.72
F0536,West,1924.17
F0537,East,342.08
F0538,East,152.38
F0539,West,47.71
F0540,East,355.75
F0541,East,84.12
F0542,East,113.52
F0543,Central,110.84
F0544,West,163.24
F0545,East,205.69
F0546,East,40.5
F0547,West,77.23
F0548,East,99.26
F0549,East,141.42
F0550,East,86.38
F0551,East,39.6
F0552,Central,48.88
F0553,Central,37.05
F0554,Central,209.18
F0555,West,235.94
F0556,East,50.06
F0557,East,26.88
F0558,Central,91.1
F0559,East,505.45
F0560,Central,25.09
F0561,East,331.81
F0562,East,198.1
F0563,East,18.35
F0564,West,28.01
F0565,East,285.19
F0566,Central,38.5
F0567,West,160.95
F0568,West,141.37
F0569,Central,125.47
F0570,West,437.52
F0571,East,187.11
F0572,West,76.35
F0573,Central,58.53
F0574,East,127.7
F0575,Central,239.97
F0576,East,273.91
F0577,East,72.33
F0578,East,37.27
F0579,West,446.37
F0580,East,244.33
F0581,East,97.99
F0582,East,51.53
F0583,East,125.4
F0584,East,74.46
F0585,West,36.99
F0586,East,85.48
F0587,Central,52.86
F0588,West,699.82
F0589,East,219.28
F0590,West,63.64
F0591,West,83.52
F0592,Central,79.16
F0593,East,53.12
F0594,West,14.79
F0595,Central,95.63
F0596,Central,353.0
F0597,East,158.12
F0598,East,129.31
F0599,East,206.09
F0600,East,370.63
F0601,East,76.35
F0602,West,167.94
F0603,East,127.98
F0604,Central,104.19
F0605,East,64.77
F0606,East,59.67
F0607,East,127.59
F0608,East,160.54
F0609,East,107.8
F0610,East,94.25
F0611,Central,162.59
F0612,East,69.41
F0613,Central,166.34
F0614,Central,23.44
F0615,East,387.93
F0616,East,102.7
F0617,West,65.85
F0618,East,180.5
F0619,East,147.56
F0620,East,697.95
F0621,East,297.28
F0622,West,4.54
F0623,West,98.98
F0624,East,69.49
F0625,Central,39.92
F0626,East,103.43
F0627,West,59.45
F0628,Central,266.69
F0629,East,118.43
F0630,Central,347.77
F0631,East,123.28
F0632,East,435.54
F0633,East,288.86
F0634,East,77.23
F0635,Central,38.32
F0636,East,49.25
F0637,West,95.74
F0638,East,75.26
F0639,Central,331.61
F0640,West,135.33
F0641,East,48.11
F0642,East,176.52
F0643,East,437.89
F0644,Central,87.74
F0645,East,18.32
F0646,West,123.3
F0647,East,613.1
F0648,Central,155.08
F0649,East,225.56
F0650,East,38.97
F0651,East,135.02
F0652,East,57.07
F0653,East,234.71
F0654,East,88.48
F0655,East,45.43
F0656,Central,147.53
F0657,East,72.84
F0658,West,224.22
F0659,East,82.2
F0660,West,260.05
F0661,East,98.73
F0662,East,12.85
F0663,West,317.21
F0664,East,94.36
F0665,East,7.87
F0666,East,76.04
F0667,Central,79.36
F0668,East,129.55
F0669,Central,281.21
F0670,West,34.49
F0671,West,40.19
F0672,East,47.81
F0673,Central,179.18
F0674,East,159.71
F0675,East,324.79
F0676,East,165.75
F0677,West,280.42
F0678,East,56.85
F0679,Central,172.78
F0680,East,192.35
F0681,Central,13.67
F0682,Central,254.43
F0683,Central,184.29
F0684,East,23.04
F0685,East,119.22
F0686,East,492.77
F0687,East,211.82
F0688,West,107.25
F0689,Central,67.37
F0690,East,427.01
F0691,East,255.78
F0692,East,76.01
F0693,East,38.09
F0694,East,270.57
F0695,Central,29.33
F0696,East,70.31
F0697,East,149.99
F0698,West,225.52
F0699,East,121.34
F0700,Central,57.15
F0701,East,107.77
F0702,East,118.27
F0703,West,134.18
F0704,Central,100.49
F0705,Central,180.44
F0706,West,59.88
F0707,East,32.32
F0708,East,67.62
F0709,East,26.9
F0710,East,295.76
F0711,East,47.79
F0712,Central,75.12
F0713,West,55.97
F0714,Central,233.32
F0715,East,114.25
F0716,East,35.4
F0717,East,153.01
F0718,East,100.54
F0719,Central,437.63
F0720,East,151.17
F0721,Central,93.23
F0722,East,83.82
F0723,Central,250.9
F0724,East,57.77
F0725,West,44.7
F0726,East,36.37
F0727,East,49.83
F0728,West,146.27
F0729,Central,69.59
F0730,Central,35.03
F0731,Central,31.88
F0732,Central,59.01
F0733,Central,9.73
F0734,West,104.49
F0735,West,39.77
F0736,West,185.3
F0737,East,23.78
F0738,Central,92.92
F0739,Central,60.28
F0740,Central,477.0
F0741,East,97.65
F0742,Central,80.8
F0743,Central,92.29
F0744,West,105.41
F0745,East,159.12
F0746,West,64.27
F0747,Central,27.44
F0748,East,80.44
F0749,Central,80.14
F0750,Central,35.22
F0751,East,452.57
F0752,Central,113.58
F0753,Central,41.88
F0754,East,70.53
F0755,East,98.55
F0756,Central,26.45
F0757,West,86.04
F0758,West,96.23
F0759,East,47.97
F0760,Central,39.88
F0761,East,326.19
F0762,Central,99.75
F0763,East,66.63
F0764,Central,579.56
F0765,Central,41.28
F0766,Central,50.87
F0767,East,20.59
F0768,West,45.85
F0769,Central,32.43
F0770,East,56.78
F0771,East,134.58
F0772,Central,190.23
F0773,East,60.23
F0774,East,211.44
F0775,Central,647.51
F0776,Central,96.65
F0777,East,13.41
F0778,West,23.94
F0779,West,101.11
F0780,East,279.85
F0781,East,474.74
F0782,East,270.58
F0783,West,144.98
F0784,Central,534.86
F0785,East,161.44
F0786,Central,81.66
F0787,East,127.06
F0788,Central,107.37
F0789,East,96.27
F0790,West,24.05
F0791,East,158.68
F0792,East,242.56
F0793,East,336.59
F0794,Central,48.89
F0795,Central,267.1
F0796,East,54.82
F0797,Central,27.5
F0798,Central,47.22
F0799,East,36.46
F0800,Central,91.91
F0801,Central,695.04
F0802,Central,52.86
F0803,Central,150.5
F0804,East,101.22
F0805,East,75.54
F0806,East,66.65
F0807,East,89.57
F0808,Central,110.7
F0809,Central,1372.91
F0810,Central,197.7
F0811,East,57.27
F0812,East,105.91
F0813,East,426.34
F0814,Central,26.8
F0815,East,231.91
F0816,Central,55.87
F0817,Central,235.68
F0818,East,57.54
F0819,Central,67.07
F0820,East,24.78
F0821,East,368.65
F0822,East,13.62
F0823,East,260.88
F0824,Central,58.83
F0825,West,120.13
F0826,East,100.53
F0827,West,372.7
F0828,East,187.83
F0829,West,30.08
F0830,East,42.42
F0831,West,61.86
F0832,East,99.17
F0833,East,309.93
F0834,West,92.63
F0835,East,333.48
F0836,West,78.09
F0837,Central,65.92
F0838,Central,131.29
F0839,East,169.58
F0840,Central,147.64
F0841,East,52.02
F0842,West,37.0
F0843,Central,58.17
F0844,Central,144.63
F0845,West,76.83
F0846,East,56.65
F0847,East,206.16
F0848,West,72.15
F0849,East,105.79
F0850,Central,376.41
F0851,East,29.93
F0852,Central,79.88
F0853,Central,80.87
F0854,Central,124.58
F0855,East,25.24
F0856,Central,141.26
F0857,Central,253.37
F0858,West,116.2
F0859,Central,46.18
F0860,East,29.79
F0861,West,17.02
F0862,West,69.28
F0863,East,16.13
F0864,East,25.16
F0865,East,225.3
F0866,Central,234.39
F0867,West,1602.4
F0868,East,61.22
F0869,Central,18.42
F0870,East,46.58
F0871,Central,25.82
F0872,Central,43.73
F0873,East,157.73
F0874,East,236.58
F0875,East,18.9
F0876,West,34.89
F0877,East,88.03
F0878,Central,106.29
F0879,West,117.74
F0880,East,21.49
F0881,East,93.93
F0882,Central,76.24
F0883,East,171.62
F0884,Central,274.99
F0885,East,71.84
F0886,Central,57.05
F0887,East,97.34
F0888,East,91.16
F0889,Central,68.28
F0890,East,197.75
F0891,West,82.11
F0892,Central,578.5
F0893,West,28.58
F0894,East,130.95
F0895,West,169.75
F0896,East,86.53
F0897,East,115.63
F0898,West,121.56
F0899,Central,11.17
