household_id,education,age,income
H0265,high_school,42,
H0266,bachelor,38,13560.74
H0267,bachelor,42,
H0268,bachelor,57,
H0269,bachelor,30,22103.35
H0270,high_school,27,5154.7
H0271,bachelor,42,13412.3
H0272,bachelor,51,
H0273,high_school,24,
H0274,high_school,36,9142.81
H0275,high_school,57,9183.34
H0276,bachelor,44,20241.75
H0277,high_school,53,12501.7
H0278,high_school,33,
H0279,bachelor,43,15496.81
H0280,high_school,42,6609.12
H0281,bachelor,29,
H0282,high_school,55,
H0283,bachelor,44,12250.54
H0284,bachelor,38,
H0285,bachelor,39,19584.48
H0286,high_school,58,4594.04
H0287,master,58,
H0288,bachelor,46,
H0289,bachelor,40,22625.2
H0290,high_school,22,8932.38
H0291,bachelor,47,
H0292,bachelor,48,
H0293,high_school,45,8424.02
H0294,bachelor,55,
H0295,master,30,53168.58
H0296,master,49,34754.51
H0297,high_school,42,12765.04
H0298,high_school,54,7107.51
H0299,bachelor,36,
H0300,bachelor,49,21877.79
H0301,high_school,33,
H0302,high_school,32,9470.09
H0303,high_school,48,10007.31
H0304,bachelor,32,14687.21
H0305,high_school,47,8863.24
H0306,high_school,40,
H0307,bachelor,56,19641.56
H0308,bachelor,56,30468.42
H0309,bachelor,47,
H0310,bachelor,44,
H0311,master,29,
H0312,bachelor,28,
H0313,high_school,54,8066.66
H0314,bachelor,29,17751.53
H0315,master,26,26208.69
H0316,high_school,32,6534.18
H0317,bachelor,44,14690.45
H0318,bachelor,24,
H0319,high_school,36,8110.08
H0320,master,53,38411.44
H0321,high_school,24,8261.6
H0322,high_school,27,6375.65
H0323,high_school,26,7590.7
H0324,bachelor,39,15851.38
H0325,bachelor,26,19339.81
H0326,high_school,28,
H0327,high_school,32,5010.22
H0328,bachelor,38,18721.86
H0329,bachelor,29,20455.75
H0330,high_school,59,6546.5
H0331,bachelor,43,18872.23
H0332,bachelor,36,15640.89
H0333,high_school,50,6529.3
H0334,bachelor,47,15065.2
H0335,high_school,48,9500.9
H0336,high_school,24,
H0337,bachelor,31,
H0338,high_school,31,
H0339,high_school,33,8010.19
H0340,high_school,51,9064.8
H0341,bachelor,27,18246.72
H0342,bachelor,30,21912.18
H0343,high_school,31,7236.72
H0344,bachelor,51,25048.17
H0345,bachelor,58,21473.89
H0346,bachelor,31,16021.9
H0347,bachelor,28,
H0348,master,40,38004.0
H0349,high_school,59,9938.59
H0350,bachelor,31,
H0351,high_school,36,9802.31
H0352,bachelor,55,16447.05
H0353,high_school,33,
H0354,high_school,30,9272.3
H0355,bachelor,52,
H0356,bachelor,58,18690.7
H0357,high_school,52,10306.09
H0358,master,54,38915.92
H0359,bachelor,32,15937.74
H0360,high_school,48,6104.21
H0361,bachelor,56,28338.24
H0362,high_school,43,5026.59
H0363,bachelor,34,
H0364,bachelor,54,
H0365,high_school,28,5328.85
H0366,high_school,58,7243.23
H0367,bachelor,39,24073.94
H0368,bachelor,43,10454.94
H0369,bachelor,58,
H0370,bachelor,34,
H0371,bachelor,53,
H0372,bachelor,31,17690.07
H0373,high_school,31,5628.74
H0374,high_school,57,11865.24
H0375,bachelor,31,14686.64
H0376,high_school,34,5946.22
H0377,master,57,57676.91
H0378,master,31,34085.61
H0379,bachelor,37,19307.27
H0380,bachelor,44,23653.66
H0381,high_school,24,9839.75
H0382,high_school,40,
H0383,high_school,58,6915.72
H0384,bachelor,46,14398.88
H0385,bachelor,24,15382.6
H0386,bachelor,50,32709.35
H0387,high_school,45,6347.98
H0388,master,54,49348.37
H0389,bachelor,56,22247.49
H0390,master,53,48033.21
H0391,high_school,44,5713.66
H0392,master,22,20183.68
H0393,master,51,35851.14
H0394,high_school,33,4710.25
H0395,master,55,42446.16
H0396,master,43,53892.97
H0397,master,25,35052.13
H0398,master,25,30373.98
H0399,bachelor,58,12014.51
H0400,bachelor,54,
H0401,high_school,30,4592.35
H0402,master,58,46078.44
H0403,bachelor,24,
H0404,high_school,24,6886.59
H0405,bachelor,51,23236.66
H0406,bachelor,30,11952.19
H0407,high_school,36,8885.07
H0408,high_school,28,
H0409,high_school,32,5138.68
H0410,high_school,30,5397.89
H0411,bachelor,26,20078.97
H0412,master,33,44751.84
H0413,bachelor,54,22246.16
H0414,bachelor,25,11694.68
H0415,high_school,51,
H0416,master,36,30706.99
H0417,bachelor,55,27231.59
H0418,high_school,49,
H0419,bachelor,44,16621.43
H0420,high_school,37,5273.71
H0421,high_school,38,9112.74
H0422,bachelor,45,17065.25
H0423,bachelor,48,
H0424,bachelor,36,12172.29
H0425,high_school,51,7204.55
H0426,high_school,56,4830.19
H0427,bachelor,44,
H0428,bachelor,35,16079.35
H0429,bachelor,52,12487.9
H0430,bachelor,50,
H0431,master,50,
H0432,high_school,58,9639.86
H0433,master,41,42218.16
H0434,high_school,53,6473.3
H0435,master,46,
H0436,bachelor,55,14314.08
H0437,high_school,28,4919.78
H0438,master,53,
H0439,bachelor,44,
H0440,high_school,23,3986.55
H0441,high_school,30,
H0442,master,58,35277.03
H0443,bachelor,25,20852.72
H0444,master,50,
H0445,bachelor,24,15027.79
H0446,bachelor,57,17780.63
H0447,master,29,31286.9
H0448,bachelor,26,
H0449,bachelor,57,17777.21
H0450,bachelor,35,13700.62
H0451,bachelor,52,20752.28
H0452,high_school,31,
H0453,high_school,36,
H0454,master,46,45610.95
H0455,high_school,30,10097.9
H0456,bachelor,28,15298.61
H0457,high_school,53,9939.12
H0458,high_school,40,
H0459,master,27,26638.67
H0460,high_school,58,8197.1
H0461,bachelor,25,14226.78
H0462,bachelor,30,20605.22
H0463,bachelor,57,22605.16
H0464,high_school,25,7001.68
H0465,high_school,28,4262.99
H0466,master,59,
H0467,high_school,50,4324.64
H0468,bachelor,37,16297.21
H0469,high_school,24,4626.89
H0470,bachelor,55,36316.11
H0471,high_school,23,3550.1
H0472,high_school,45,
H0473,high_school,48,
H0474,bachelor,25,
H0475,bachelor,30,
H0476,high_school,38,5747.04
H0477,bachelor,23,
H0478,bachelor,38,19326.23
H0479,bachelor,43,15133.37
H0480,high_school,59,7644.21
H0481,master,33,23408.42
H0482,high_school,52,12026.55
H0483,high_school,44,9168.8
H0484,high_school,42,
H0485,bachelor,28,12286.12
H0486,bachelor,44,18828.83
H0487,high_school,25,5471.2
H0488,high_school,35,
H0489,master,58,47441.98
H0490,master,41,32500.51
H0491,high_school,58,
H0492,high_school,56,
H0493,bachelor,22,10320.19
H0494,bachelor,23,15070.23
H0495,bachelor,38,14152.82
H0496,high_school,27,9143.64
H0497,high_school,34,6556.67
H0498,bachelor,31,14025.88
H0499,master,45,
H0500,master,52,51721.29
H0501,bachelor,35,
H0502,bachelor,36,13535.74
H0503,high_school,46,
H0504,bachelor,25,29405.14
H0505,bachelor,22,
H0506,bachelor,30,21803.72
H0507,high_school,58,4929.11
H0508,bachelor,37,26578.38
H0509,master,47,
H0510,high_school,25,3976.41
H0511,high_school,58,
H0512,bachelor,23,14277.61
H0513,master,31,36430.04
H0514,bachelor,46,17216.98
H0515,high_school,51,14337.04
H0516,high_school,53,
H0517,bachelor,31,13291.57
H0518,bachelor,43,20083.94
H0519,high_school,36,3841.24
H0520,bachelor,41,21476.14
H0521,bachelor,31,17085.17
H0522,bachelor,37,9809.25
H0523,high_school,38,6654.55
H0524,bachelor,54,
H0525,bachelor,30,20558.26
H0526,high_school,57,10176.9
H0527,bachelor,49,26455.1
H0528,master,22,20181.24
H0529,master,26,29664.82
H0530,high_school,38,7127.36
H0531,bachelor,46,
H0532,bachelor,51,
H0533,bachelor,55,
H0534,bachelor,33,19454.19
H0535,high_school,59,14847.16
H0536,bachelor,51,18389.36
H0537,high_school,27,
H0538,master,35,40126.85
H0539,high_school,47,
H0540,high_school,46,6747.23
H0541,bachelor,22,10407.98
H0542,bachelor,25,22474.23
H0543,high_school,48,
H0544,high_school,29,
H0545,bachelor,29,12650.45
H0546,master,36,39772.27
H0547,bachelor,39,14790.18
H0548,high_school,22,4944.81
H0549,high_school,24,
H0550,high_school,28,3948.96
H0551,master,31,
H0552,high_school,34,5122.86
H0553,high_school,32,
H0554,high_school,49,10518.15
H0555,bachelor,45,20200.12
H0556,high_school,56,5877.08
H0557,bachelor,49,18734.37
H0558,high_school,28,
H0559,high_school,36,6819.8
H0560,high_school,46,9016.34
H0561,master,37,32997.49
H0562,master,43,26595.75
H0563,bachelor,51,21286.87
H0564,bachelor,33,
H0565,high_school,36,5952.87
H0566,bachelor,51,
H0567,high_school,52,
H0568,high_school,24,5360.12
H0569,bachelor,29,21889.26
H0570,master,26,48701.34
H0571,master,48,31652.34
H0572,master,46,44383.94
H0573,high_school,57,13064.99
H0574,high_school,45,
H0575,bachelor,54,
H0576,master,31,40286.68
H0577,bachelor,33,20424.86
H0578,master,32,25389.21
H0579,high_school,22,4835.85
H0580,bachelor,31,24096.83
H0581,bachelor,59,24242.06
H0582,bachelor,32,15197.07
H0583,bachelor,23,16432.5
H0584,bachelor,59,20902.24
H0585,bachelor,32,10812.15
H0586,high_school,57,9181.33
H0587,master,52,
H0588,high_school,29,
H0589,bachelor,39,19727.11
H0590,master,26,
H0591,high_school,29,4456.12
H0592,high_school,24,7603.58
H0593,bachelor,55,18051.87
H0594,high_school,49,8557.95
H0595,high_school,49,9526.25
H0596,bachelor,25,16795.8
H0597,high_school,56,6570.02
H0598,high_school,28,
H0599,high_school,54,
H0600,bachelor,30,
H0601,bachelor,26,
H0602,high_school,33,6268.74
H0603,bachelor,53,23360.84
H0604,high_school,51,6224.77
H0605,bachelor,28,25063.72
H0606,bachelor,25,25665.64
H0607,bachelor,51,
H0608,master,52,
H0609,master,50,
H0610,high_school,29,
H0611,high_school,34,8636.63
H0612,high_school,30,4318.36
H0613,high_school,27,5235.62
H0614,bachelor,35,
H0615,bachelor,46,
H0616,high_school,41,7124.26
H0617,bachelor,30,
H0618,bachelor,34,
H0619,bachelor,39,8778.54
H0620,bachelor,56,
H0621,high_school,25,6694.89
H0622,bachelor,26,12097.41
H0623,bachelor,36,25406.64
H0624,bachelor,56,
H0625,bachelor,31,13111.22
H0626,high_school,44,9427.52
H0627,high_school,47,10721.62
H0628,high_school,24,
H0629,bachelor,31,
H0630,bachelor,25,
H0631,high_school,30,3770.51
H0632,bachelor,41,8416.68
H0633,bachelor,53,15294.05
H0634,bachelor,57,25426.26
H0635,bachelor,56,42353.16
H0636,high_school,43,4782.98
H0637,bachelor,45,
H0638,bachelor,51,18803.97
H0639,bachelor,31,11681.96
H0640,high_school,43,16064.62
H0641,bachelor,39,
H0642,high_school,42,6024.92
H0643,master,57,
H0644,master,49,43680.08
H0645,bachelor,26,18902.3
H0646,bachelor,44,15280.04
H0647,high_school,28,5317.52
H0648,high_school,36,
H0649,high_school,24,5200.11
H0650,bachelor,45,21178.06
H0651,master,32,
H0652,master,32,27318.64
H0653,high_school,35,9433.88
H0654,high_school,47,
H0655,master,47,
H0656,bachelor,29,18237.51
H0657,bachelor,52,28533.8
H0658,high_school,24,4229.71
H0659,high_school,55,10111.65
H0660,bachelor,28,12723.12
H0661,bachelor,25,
H0662,master,47,19640.98
H0663,high_school,43,6220.29
H0664,high_school,30,8920.1
H0665,high_school,52,7202.63
H0666,high_school,25,6044.03
H0667,bachelor,26,18380.02
H0668,bachelor,31,10042.63
H0669,high_school,48,
H0670,bachelor,27,
H0671,bachelor,33,13663.88
H0672,bachelor,35,
H0673,high_school,23,
H0674,master,53,60549.52
H0675,bachelor,57,23592.49
H0676,high_school,56,9838.14
H0677,high_school,52,8044.88
H0678,high_school,48,12881.86
H0679,bachelor,36,9905.53
H0680,high_school,35,5853.32
H0681,bachelor,54,21668.93
H0682,high_school,40,9692.22
H0683,bachelor,47,
H0684,high_school,48,
H0685,master,48,
H0686,high_school,54,8494.24
H0687,high_school,38,6151.35
H0688,high_school,29,5891.53
H0689,bachelor,44,11257.93
H0690,bachelor,27,26523.47
H0691,high_school,57,9190.58
H0692,bachelor,41,
H0693,master,42,
H0694,master,37,
H0695,high_school,59,14452.34
H0696,bachelor,40,23957.1
H0697,bachelor,25,22611.39
H0698,bachelor,23,24917.62
H0699,bachelor,56,13881.37
H0700,high_school,47,9959.09
H0701,high_school,38,
H0702,high_school,42,
H0703,high_school,43,9180.8
H0704,master,35,
H0705,high_school,57,
H0706,bachelor,40,11986.86
H0707,high_school,36,7171.11
H0708,bachelor,37,
H0709,high_school,52,10067.8
H0710,bachelor,57,25779.53
H0711,master,54,35687.45
H0712,master,36,53334.6
H0713,bachelor,44,36347.54
H0714,high_school,32,4325.64
H0715,bachelor,41,
H0716,high_school,52,6344.51
H0717,bachelor,40,12268.72
H0718,high_school,51,6385.27
H0719,master,42,
H0720,high_school,48,8053.64
H0721,high_school,30,8824.44
H0722,high_school,39,6831.93
H0723,bachelor,50,17864.52
H0724,high_school,35,
H0725,bachelor,41,11647.86
H0726,master,59,39294.93
H0727,high_school,47,
H0728,bachelor,59,22993.04
H0729,bachelor,49,
H0730,bachelor,30,16951.54
H0731,master,32,20714.1
H0732,bachelor,42,20469.91
H0733,master,48,49740.51
H0734,bachelor,34,
H0735,bachelor,22,14861.04
H0736,bachelor,39,13152.53
H0737,bachelor,29,
H0738,high_school,36,8241.98
H0739,master,39,
H0740,bachelor,44,21522.35
H0741,high_school,25,
H0742,bachelor,46,
H0743,master,31,26905.33
H0744,bachelor,31,17406.51
H0745,master,47,38081.58
H0746,master,36,25694.98
H0747,high_school,59,
H0748,high_school,56,9569.83
H0749,high_school,33,3286.23
H0750,high_school,44,
H0751,high_school,39,4520.98
H0752,high_school,41,5104.41
H0753,master,42,
H0754,master,42,33642.21
H0755,high_school,23,6441.33
H0756,master,29,
H0757,bachelor,37,
H0758,bachelor,28,12434.5
H0759,high_school,41,6838.88
H0760,bachelor,58,24443.61
H0761,high_school,38,6641.82
H0762,high_school,56,6111.73
H0763,master,59,46458.73
H0764,bachelor,57,
H0765,high_school,35,
H0766,bachelor,41,20357.91
H0767,master,31,33196.64
H0768,high_school,37,6411.28
H0769,high_school,22,
H0770,bachelor,51,17076.5
H0771,master,24,35443.9
H0772,bachelor,36,15404.05
H0773,high_school,58,11402.14
H0774,bachelor,32,
H0775,high_school,46,
H0776,high_school,29,7484.74
H0777,master,59,45027.31
H0778,master,27,28735.73
H0779,high_school,24,
H0780,master,39,
H0781,bachelor,33,15616.38
H0782,master,36,
H0783,bachelor,24,14479.02
H0784,high_school,39,4813.97
H0785,high_school,27,3462.2
H0786,high_school,22,
H0787,high_school,25,7831.85
H0788,high_school,26,4655.26
H0789,master,53,32685.35
H0790,master,51,48321.55
H0791,high_school,31,7901.79
H0792,high_school,33,3862.18
H0793,high_school,37,4391.06
H0794,bachelor,49,30396.88
H0795,bachelor,45,
H0796,master,44,37046.19
H0797,bachelor,27,19061.82
H0798,high_school,22,3941.79
H0799,high_school,47,5810.22
