OrderID,date,store,amount,quantity,channel
Q2-2097,28/04/2026,S07,¥643.02,4,store
Q2-2098,14/06/2026,S05,¥794.87,1,online
Q2-2099,30/04/2026,S08,¥133.62,8,store
Q2-2100,30/06/2026,S06,¥453.67,8,store
Q2-2101,20/06/2026,S03,¥261.58,5,store
Q2-2102,03/06/2026,S05,"¥1,177.55",3,online
Q2-2103,16/06/2026,S04,¥723.98,6,store
Q2-2104,25/04/2026,S05,"¥1,881.22",3,store
Q2-2105,03/04/2026,S02,¥502.87,2,store
Q2-2106,10/04/2026,S02,¥517.20,7,store
Q2-2107,16/05/2026,S07,¥230.14,8,store
Q2-2108,06/05/2026,S08,¥695.28,2,online
Q2-2109,19/04/2026,S05,¥202.24,6,online
Q2-2110,27/05/2026,S04,¥764.21,7,online
Q2-2111,02/06/2026,S05,¥610.25,8,online
Q2-2112,31/05/2026,S06,¥434.64,5,store
Q2-2113,16/05/2026,S03,¥179.02,6,store
Q2-2114,10/05/2026,S02,¥440.26,5,store
Q2-2115,01/04/2026,S04,¥600.69,7,online
Q2-2116,20/05/2026,S03,¥452.39,7,store
Q2-2117,14/05/2026,S03,¥633.32,6,store
Q2-2118,25/06/2026,S01,¥213.58,4,store
Q2-2119,20/06/2026,S01,¥482.62,8,online
Q2-2120,02/04/2026,S05,¥760.35,3,store
Q2-2121,18/04/2026,S02,¥189.14,8,store
Q2-2122,28/06/2026,S07,¥303.07,4,online
Q2-2123,29/05/2026,S01,¥473.25,2,store
Q2-2124,24/05/2026,S06,¥486.80,1,store
Q2-2125,27/06/2026,S03,¥348.06,8,store
Q2-2126,12/04/2026,S06,¥759.10,3,online
Q2-2127,19/05/2026,S04,¥579.41,4,store
Q2-2128,28/05/2026,S05,¥848.81,8,online
Q2-2129,27/04/2026,S04,"¥1,275.10",2,online
Q2-2130,05/05/2026,S02,¥255.29,4,online
Q2-2131,09/05/2026,S07,¥374.28,2,online
Q2-2132,04/05/2026,S04,"¥1,650.15",1,store
Q2-2133,27/04/2026,S04,¥387.81,6,online
Q2-2134,29/06/2026,S04,¥937.59,1,store
Q2-2135,16/06/2026,S07,¥374.82,1,store
Q2-2136,03/05/2026,S05,¥158.05,3,store
Q2-2137,13/04/2026,S08,¥360.71,8,store
Q2-2138,04/04/2026,S04,"¥1,006.06",2,store
Q2-2139,23/05/2026,S08,¥360.32,4,store
Q2-2140,07/05/2026,S05,¥397.46,2,store
Q2-2141,17/05/2026,S03,¥621.21,1,online
Q2-2142,13/05/2026,S05,¥534.93,4,store
Q2-2143,22/06/2026,S03,¥450.13,7,online
Q2-2144,13/06/2026,S03,¥558.05,7,store
Q2-2145,17/04/2026,S01,¥701.76,1,store
Q2-2146,22/05/2026,S06,¥446.29,8,store
Q2-2147,26/04/2026,S07,¥145.56,6,online
Q2-2148,23/06/2026,S05,¥854.74,8,store
Q2-2149,04/04/2026,S04,¥492.03,7,online
Q2-2150,14/06/2026,S07,¥446.42,1,store
Q2-2151,05/05/2026,S05,¥360.92,4,online
Q2-2152,24/04/2026,S06,¥326.93,5,store
Q2-2153,14/06/2026,S08,"¥1,840.49",3,online
Q2-2154,22/06/2026,S07,¥163.26,5,online
Q2-2155,26/04/2026,S01,¥512.58,4,online
Q2-2156,10/04/2026,S01,¥418.02,4,online
Q2-2157,15/06/2026,S06,¥423.04,5,online
Q2-2158,14/05/2026,S08,¥405.85,7,store
Q2-2159,31/05/2026,S06,¥903.61,8,store
Q2-2160,22/04/2026,S07,¥818.51,8,online
Q2-2161,11/06/2026,S04,¥942.11,4,store
Q2-2162,11/06/2026,S01,¥623.50,7,store
Q2-2163,11/04/2026,S02,¥378.28,1,store
Q2-2164,25/04/2026,S04,¥142.85,2,online
Q2-2165,11/06/2026,S03,¥353.80,6,online
Q2-2166,10/04/2026,S01,¥351.89,7,store
Q2-2167,19/04/2026,S08,¥132.01,8,store
Q2-2168,02/06/2026,S02,¥640.53,2,online
Q2-2169,13/04/2026,S08,¥165.04,6,store
Q2-2170,18/05/2026,S02,¥898.98,2,store
Q2-2171,27/05/2026,S05,"¥1,350.23",2,store
Q2-2172,29/04/2026,S01,¥915.25,4,store
Q2-2173,16/04/2026,S08,"¥1,037.86",1,online
Q2-2174,09/05/2026,S03,¥458.67,8,store
Q2-2175,01/04/2026,S01,¥204.57,3,online
Q2-2176,06/05/2026,S03,¥678.47,3,online
Q2-2177,22/06/2026,S06,¥371.31,7,online
Q2-2178,28/06/2026,S01,¥736.40,3,store
Q2-2179,19/06/2026,S07,¥635.52,3,online
Q2-2180,13/05/2026,S08,"¥1,307.37",7,online
Q2-2181,09/06/2026,S03,¥255.09,6,store
Q2-2182,21/05/2026,S03,¥212.86,3,online
Q2-2183,29/06/2026,S04,¥379.18,7,online
Q2-2184,02/05/2026,S05,¥404.14,6,online
Q2-2185,14/05/2026,S07,¥287.28,6,store
Q2-2186,22/06/2026,S03,¥538.80,4,online
Q2-2187,24/04/2026,S06,¥758.00,4,online
Q2-2188,04/06/2026,S05,¥378.85,1,store
Q2-2189,25/06/2026,S02,¥387.69,5,store
Q2-2190,10/04/2026,S04,¥652.68,4,online
Q2-2191,20/04/2026,S02,¥387.30,2,store
Q2-2192,15/05/2026,S04,¥431.44,1,store
Q2-2193,13/05/2026,S08,¥882.36,7,store
Q2-2194,14/05/2026,S02,¥260.19,3,store
Q2-2195,11/05/2026,S02,¥539.92,6,store
Q2-2196,26/05/2026,S04,¥235.72,1,store
Q2-2197,06/04/2026,S03,¥748.10,7,store
Q2-2198,05/06/2026,S07,¥555.35,4,store
Q2-2199,30/04/2026,S08,¥300.54,3,store
Q2-2200,26/06/2026,S06,¥457.34,7,store
Q2-2201,12/05/2026,S01,"¥1,197.48",8,online
Q2-2202,12/06/2026,S06,¥914.17,6,store
Q2-2203,23/04/2026,S02,¥136.93,6,store
Q2-2204,10/04/2026,S05,¥441.26,4,online
Q2-2205,05/06/2026,S02,¥234.27,5,store
Q2-2206,17/05/2026,S04,¥234.31,2,store
Q2-2207,17/05/2026,S07,¥381.28,8,online
Q2-2208,15/05/2026,S05,¥361.11,8,store
Q2-2209,12/05/2026,S03,¥203.53,4,online
Q2-2210,19/06/2026,S05,"¥1,172.85",5,online
Q2-2211,20/05/2026,S05,¥779.16,2,store
Q2-2212,31/05/2026,S04,¥659.64,2,online
Q2-2213,08/05/2026,S08,¥881.81,8,store
Q2-2214,26/04/2026,S05,¥515.71,8,online
Q2-2215,18/06/2026,S02,¥383.33,7,store
Q2-2216,17/05/2026,S02,¥696.33,2,store
Q2-2217,15/05/2026,S01,¥803.37,7,store
Q2-2218,14/04/2026,S08,¥699.26,1,online
Q2-2219,26/05/2026,S05,¥727.43,7,store
Q2-2220,11/06/2026,S06,¥707.52,2,store
Q2-2221,11/04/2026,S07,¥611.79,7,online
Q2-2222,09/05/2026,S02,¥559.78,8,store
Q2-2223,28/04/2026,S05,"¥1,089.90",5,store
Q2-2224,25/05/2026,S03,¥210.88,7,online
Q2-2225,25/04/2026,S02,¥730.33,1,store
Q2-2226,28/05/2026,S06,¥254.22,8,store
Q2-2227,03/06/2026,S01,"¥1,262.98",5,store
Q2-2228,09/05/2026,S05,¥662.12,8,online
Q2-2229,25/05/2026,S07,¥440.71,5,store
Q2-2230,15/06/2026,S06,¥541.17,2,store
Q2-2231,07/05/2026,S03,¥456.63,8,store
Q2-2232,14/05/2026,S05,¥405.55,6,online
Q2-2233,30/05/2026,S07,¥208.19,7,store
Q2-2234,06/04/2026,S05,¥795.94,4,online
Q2-2235,25/06/2026,S05,¥221.52,8,online
Q2-2236,30/06/2026,S02,¥161.85,6,store
Q2-2237,25/04/2026,S06,¥424.32,7,store
Q2-2238,29/04/2026,S01,¥723.35,4,online
Q2-2239,20/04/2026,S02,¥175.29,2,store
Q2-2240,09/04/2026,S02,¥275.93,2,online
Q2-2241,19/04/2026,S04,¥883.64,7,online
Q2-2242,29/05/2026,S07,¥360.06,2,online
Q2-2243,26/05/2026,S07,¥685.13,5,store
Q2-2244,16/04/2026,S03,¥720.21,1,online
Q2-2245,12/06/2026,S04,¥85.71,2,store
Q2-2246,22/04/2026,S08,"¥1,042.89",1,online
Q2-2247,04/04/2026,S08,¥856.60,3,online
Q2-2248,17/04/2026,S01,¥211.87,8,online
Q2-2249,10/05/2026,S06,¥625.61,4,store
Q2-2250,02/05/2026,S06,¥437.16,4,store
Q2-2251,13/05/2026,S01,¥145.02,4,store
Q2-2252,29/04/2026,S08,¥422.49,6,online
Q2-2253,06/04/2026,S01,¥794.85,6,online
Q2-2254,07/06/2026,S04,"¥1,235.60",4,online
Q2-2255,08/04/2026,S04,¥714.71,7,store
Q2-2256,09/06/2026,S01,¥279.59,8,online
Q2-2257,06/04/2026,S02,¥326.23,5,store
Q2-2258,10/04/2026,S01,¥367.77,7,online
Q2-2259,25/05/2026,S08,¥338.47,7,store
