order_id,date_raw,city_raw,amount_raw,qty,payment_raw
SO2026114,2026-03-08,Shenzhen,¥600.76,2.0,unpaid
SO2026115,27/04/2026,Guang Zhou,¥504.43,3.0,N/A
SO2026116,2026-01-08,Guang Zhou,875.87 RMB,10.0,Not Applicable
SO2026116,20260408, Shenzhen,1.3 thousand CNY,10.0,Not Applicable
SO2026118,2026-03-31,shenzhen,¥298.84,4.0,paid
SO2026119,20260429,Guangzhou,¥420.69,7.0,paid
SO2026120,2026-01-23,SHENZHEN ,131.92 RMB,7.0,Not Applicable
SO2026121,2026-03-29,Guangzhou, 726.13 ,9.0,Paid
SO2026122,20260322,Guangzhou City,515.23 RMB,1.0,Not Applicable
SO2026123,20260410,shenzhen,¥340.97,10.0,-
SO2026124,20260321, Shenzhen,613.41 RMB,5.0,paid
SO2026125,2026-04-18,Guang Zhou,0.8 thousand CNY,9.0,PAID
SO2026126,20260122,Guangzhou City,0.3 thousand CNY,3.0,PAID
SO2026127,13/01/2026,Shenzhen,0.3 thousand CNY,1.0,-
SO2026128,20260202,Guangzhou, 496.89 ,11.0,N/A
SO2026129,20260205, Shenzhen, 257.04 ,6.0,Not Applicable
SO2026129,20260201,Guangzhou,558.33 RMB,3.0,Not Applicable
SO2026131,20260203,Guangzhou City,¥248.16,1.0,N/A
SO2026132,21/02/2026,Shenzhen,648.98 RMB,9.0,unpaid
SO2026133,20260119,Guangzhou City,0.4 thousand CNY,10.0,-
SO2026134,20260107, Shenzhen,¥388.88,1.0,unpaid
SO2026135,20260306,Shenzhen,¥583.06,5.0,unpaid
SO2026136,20260125, Shenzhen,"¥1,577.29",5.0,unpaid
SO2026137,20260320,Guang Zhou,875.22 RMB,5.0,Paid
SO2026138,2026-04-28,Guangzhou City,0.1 thousand CNY,4.0,-
SO2026139,2026-01-22,Guangzhou City,¥504.93,5.0,N/A
SO2026140,16/01/2026,SHENZHEN ,0.2 thousand CNY,4.0,paid
SO2026141,25/03/2026, Shenzhen,0.3 thousand CNY,1.0,-
SO2026142,20260308,Guangzhou City,632.12 RMB,7.0,PAID
SO2026143,12/02/2026, Shenzhen, 422.95 ,6.0,paid
SO2026144,2026-04-23,SHENZHEN ,281.40 RMB,2.0,unpaid
SO2026145,20260106,Guang Zhou, 102.98 ,11.0,unpaid
SO2026146,20260129,Guangzhou,0.7 thousand CNY,5.0,Not Applicable
SO2026146,15/02/2026,Guangzhou City, 351.06 ,8.0,-
SO2026148,2026-02-16,Guangzhou City,1.1 thousand CNY,7.0,Paid
SO2026149,2026-02-21,Guangzhou,0.4 thousand CNY,8.0,Paid
SO2026150,20260210,Guangzhou, 482.92 ,4.0,unpaid
SO2026151,2026-03-12,Guangzhou City,3231.94 RMB,3.0,N/A
SO2026152,20260401,SHENZHEN , 354.10 ,5.0,Not Applicable
SO2026153,07/03/2026, Shenzhen,¥342.67,3.0,Not Applicable
SO2026154,30/04/2026,SHENZHEN , 693.09 ,1.0,N/A
SO2026155,09/01/2026, Shenzhen,0.5 thousand CNY,2.0,unpaid
SO2026156,22/03/2026,SHENZHEN , 247.25 ,2.0,Paid
SO2026157,2026-02-12,Guang Zhou,¥933.25,8.0,PAID
SO2026158,20260113, Shenzhen,772.56 RMB,6.0,N/A
SO2026159,12/03/2026,Guangzhou City,815.50 RMB,10.0,Paid
SO2026160,02/04/2026,Guang Zhou,¥357.94,1.0,N/A
SO2026161,20260401,SHENZHEN ," 1,768.29 ",3.0,-
SO2026162,24/03/2026,Guangzhou, 457.23 ,9.0,unpaid
SO2026163,20260301,Guangzhou City,0.2 thousand CNY,8.0,Not Applicable
SO2026164,20260411,shenzhen,"¥1,524.05",2.0,PAID
SO2026164,29/01/2026,Guangzhou City,2.9 thousand CNY,3.0,Paid
SO2026166,20260318,Shenzhen,669.04 RMB,3.0,-
SO2026167,20260328,Guangzhou City,¥727.93,3.0,N/A
SO2026168,24/02/2026,Guang Zhou,0.4 thousand CNY,10.0,Not Applicable
SO2026169,13/01/2026,SHENZHEN ,¥601.11,1.0,PAID
SO2026170,2026-03-12,Guangzhou,0.7 thousand CNY,1.0,N/A
SO2026171,2026-04-11,SHENZHEN ,¥632.53,9.0,Paid
SO2026172,20260225,Guangzhou City,0.3 thousand CNY,10.0,Not Applicable
SO2026173,2026-01-05,shenzhen,¥871.70,1.0,PAID
SO2026174,2026-03-04,Shenzhen,400.19 RMB,,PAID
SO2026175,20260313,SHENZHEN , 308.90 ,8.0,Paid
SO2026176,20260405,Guangzhou City, 406.59 ,3.0,unpaid
SO2026177,26/03/2026,Shenzhen,¥340.88,8.0,-
SO2026178,27/01/2026,Shenzhen,"¥1,009.85",7.0,Not Applicable
SO2026179,20260402,Shenzhen, 208.76 ,6.0,paid
SO2026180,2026-01-02,Guangzhou City,¥962.35,1.0,unpaid
SO2026181,04/03/2026,Shenzhen, 316.19 ,,-
SO2026182,2026-04-26,SHENZHEN ,1.1 thousand CNY,4.0,PAID
SO2026183,2026-04-13,Guang Zhou,673.34 RMB,9.0,N/A
SO2026184,2026-01-12,Guangzhou City,0.2 thousand CNY,3.0,unpaid
SO2026185,2026-03-18,Guang Zhou,"¥1,022.72",8.0,Not Applicable
SO2026186,20260418,Guangzhou City, 880.61 ,,N/A
SO2026187,2026-03-21,shenzhen, 238.60 ,9.0,N/A
SO2026188,20260413,Shenzhen,¥688.00,3.0,Not Applicable
SO2026189,2026-01-16,Guang Zhou,0.7 thousand CNY,3.0,N/A
SO2026190,20260416,Guangzhou,846.82 RMB,,Not Applicable
SO2026191,2026-04-18,Shenzhen," 1,337.61 ",6.0,PAID
SO2026192,20260208,shenzhen,¥579.99,7.0,-
SO2026193,2026-04-13,shenzhen,¥580.47,6.0,Paid
SO2026194,20260128,shenzhen,¥584.17,5.0,PAID
SO2026195,20260217,Guangzhou,"¥2,274.29",2.0,unpaid
SO2026196,2026-02-10,shenzhen, 620.78 ,3.0,Not Applicable
SO2026197,02/02/2026,Guangzhou City, 98.71 ,7.0,-
SO2026198,13/04/2026,Shenzhen,401.50 RMB,4.0,paid
SO2026199,20260202,Guang Zhou,0.2 thousand CNY,9.0,unpaid
SO2026200,2026-04-06,SHENZHEN ,¥477.33,1.0,PAID
SO2026201,08/01/2026,SHENZHEN ,771.60 RMB,9.0,unpaid
SO2026202,20260408,Guangzhou,¥442.65,4.0,-
SO2026203,20260207,Guangzhou City,"¥3,799.77",4.0,paid
SO2026204,05/01/2026,Guang Zhou,280.11 RMB,5.0,-
SO2026205,11/03/2026, Shenzhen,345.23 RMB,2.0,unpaid
SO2026206,2026-04-08,Guangzhou City,1297.58 RMB,9.0,unpaid
SO2026207,20260403,Guangzhou City, 247.83 ,7.0,paid
SO2026208,13/04/2026,Shenzhen,¥304.43,1.0,N/A
SO2026209,20260113,Shenzhen,¥553.01,7.0,N/A
SO2026210,19/03/2026,Guangzhou City, 794.28 ,2.0,N/A
SO2026211,18/02/2026,Shenzhen,194.71 RMB,2.0,-
SO2026212,20260127,SHENZHEN ,573.71 RMB,10.0,N/A
SO2026213,2026-03-01,shenzhen,263.07 RMB,9.0,unpaid
SO2026214,30/03/2026,shenzhen, 342.02 ,7.0,Not Applicable
SO2026215,20260221,Guang Zhou,0.5 thousand CNY,7.0,N/A
SO2026216,30/03/2026,Guangzhou City, 242.31 ,8.0,PAID
SO2026217,20260228,shenzhen,1.5 thousand CNY,6.0,Not Applicable
SO2026218,20260320,Shenzhen,0.6 thousand CNY,7.0,Not Applicable
SO2026219,15/03/2026,Shenzhen, 462.50 ,2.0,Not Applicable
SO2026220,20260413,Guangzhou City, 344.61 ,8.0,Paid
SO2026221,10/01/2026,SHENZHEN ,¥116.47,,N/A
SO2026222,2026-02-03,SHENZHEN ,1.1 thousand CNY,,PAID
SO2026223,20260114,Guang Zhou,¥203.84,1.0,Paid
SO2026224,2026-01-29,shenzhen,1.2 thousand CNY,2.0,PAID
SO2026225,2026-02-17,Guangzhou City,1438.24 RMB,2.0,paid
SO2026226,20260422,SHENZHEN ,580.79 RMB,,Paid
SO2026227,20260114, Shenzhen,1563.78 RMB,6.0,paid
SO2026228,28/01/2026, Shenzhen,1.0 thousand CNY,10.0,paid
SO2026229,07/03/2026,Guangzhou City, 541.73 ,4.0,unpaid
SO2026230,20260208,Guangzhou, 391.59 ,7.0,-
SO2026231,20260407,Guang Zhou,¥703.82,6.0,-
SO2026232,07/02/2026, Shenzhen,¥362.78,7.0,Not Applicable
SO2026233,25/01/2026,Guangzhou,0.4 thousand CNY,3.0,N/A
SO2026234,2026-01-02,Guang Zhou,0.4 thousand CNY,1.0,Paid
SO2026235,20/01/2026,Guangzhou,0.6 thousand CNY,8.0,Paid
SO2026236,17/01/2026,SHENZHEN ,145.78 RMB,1.0,Paid
SO2026237,27/02/2026,SHENZHEN ,¥745.12,3.0,paid
SO2026238,15/04/2026,SHENZHEN ,3366.86 RMB,5.0,PAID
SO2026239,20260420,Guangzhou,¥435.22,6.0,PAID
SO2026240,18/03/2026,shenzhen,¥154.23,,unpaid
SO2026241,2026-01-16,Guang Zhou,0.4 thousand CNY,1.0,-
SO2026242,2026-03-01,Shenzhen,0.6 thousand CNY,11.0,PAID
SO2026243,2026-03-24,Guang Zhou,1.0 thousand CNY,7.0,Not Applicable
SO2026244,2026-01-02,shenzhen,0.4 thousand CNY,5.0,Not Applicable
SO2026245,2026-03-26,Guangzhou City, 689.68 ,2.0,-
SO2026246,2026-01-22,shenzhen,0.6 thousand CNY,,-
SO2026247,14/03/2026,Guangzhou,352.76 RMB,11.0,-
SO2026248,2026-02-12,SHENZHEN ,573.19 RMB,10.0,PAID
SO2026249,20260118,Guangzhou,1.3 thousand CNY,8.0,Not Applicable
SO2026250,28/01/2026,shenzhen,0.2 thousand CNY,5.0,Paid
SO2026251,30/01/2026,shenzhen,¥631.46,5.0,PAID
SO2026252,18/03/2026,Guang Zhou,0.3 thousand CNY,9.0,unpaid
SO2026253,20260410,Guangzhou City, 485.54 ,10.0,-
SO2026254,20260120,Shenzhen,¥123.15,1.0,-
SO2026255,24/01/2026,Guangzhou,¥832.09,8.0,Paid
SO2026256,04/01/2026, Shenzhen,0.9 thousand CNY,9.0,Paid
SO2026257,08/01/2026,Guangzhou,¥182.60,11.0,unpaid
SO2026258,20260118,shenzhen,530.68 RMB,7.0,Not Applicable
SO2026259,20260423,shenzhen,138.17 RMB,2.0,unpaid
SO2026260,2026-02-03,Guangzhou," 1,210.50 ",4.0,-
SO2026260,30/04/2026,Guangzhou City,¥388.93,,N/A
SO2026262,20260101,shenzhen,¥710.83,,unpaid
SO2026263,20260330, Shenzhen,1052.18 RMB,,-
SO2026264,13/02/2026,Guangzhou,547.40 RMB,8.0,PAID
SO2026265,2026-02-01,Guang Zhou, 815.38 ,5.0,paid
SO2026266,2026-04-03,Guang Zhou, 686.43 ,3.0,Not Applicable
SO2026267,20260129, Shenzhen, 293.70 ,6.0,paid
SO2026268,2026-03-24,Guangzhou City,¥404.75,1.0,PAID
SO2026269,2026-04-09,shenzhen,0.2 thousand CNY,9.0,PAID
SO2026270,20260116,Shenzhen," 2,552.22 ",,unpaid
SO2026271,04/02/2026,Guang Zhou,1438.14 RMB,6.0,N/A
SO2026272,24/03/2026,Guangzhou City,503.11 RMB,6.0,Paid
SO2026273,2026-02-18,Guangzhou,¥257.38,9.0,Paid
SO2026274,2026-04-01,Shenzhen, 523.54 ,4.0,unpaid
SO2026275,20260410,SHENZHEN ,¥400.23,,Paid
SO2026276,28/04/2026,shenzhen,¥280.54,7.0,Paid
SO2026277,2026-01-26,shenzhen, 200.60 ,5.0,-
SO2026278,26/03/2026,Guangzhou,0.4 thousand CNY,3.0,-
SO2026279,2026-01-19,Guang Zhou, 400.83 ,1.0,N/A
SO2026280,2026-03-04, Shenzhen,0.6 thousand CNY,4.0,-
SO2026281,2026-03-13,Guangzhou,328.36 RMB,11.0,Not Applicable
SO2026281,20260129,Guangzhou City,"¥1,108.78",7.0,PAID
SO2026283,20260220,Shenzhen,285.78 RMB,,Not Applicable
SO2026284,2026-01-23,SHENZHEN ,"¥1,303.01",4.0,PAID
SO2026285,20260109,Guang Zhou, 487.01 ,4.0,-
SO2026286,2026-03-24,SHENZHEN ," 1,543.70 ",10.0,-
SO2026287,2026-01-07,Guang Zhou,¥252.10,11.0,unpaid
SO2026288,2026-03-10,Guang Zhou,¥110.20,4.0,paid
SO2026289,20260109,Guang Zhou, 233.32 ,5.0,-
SO2026290,2026-03-06,Guang Zhou,¥833.35,8.0,Paid
SO2026291,20260414,shenzhen,¥400.53,8.0,PAID
SO2026292,12/02/2026,shenzhen,¥285.11,3.0,paid
SO2026293,13/03/2026,SHENZHEN ,"¥1,676.11",,-
SO2026294,20260106,Guangzhou City,386.43 RMB,8.0,paid
SO2026295,20260224,Guang Zhou,0.5 thousand CNY,8.0,paid
SO2026296,26/03/2026,SHENZHEN ," 2,494.86 ",1.0,Paid
SO2026297,24/02/2026,SHENZHEN ,2.1 thousand CNY,10.0,paid
SO2026298,2026-02-21,shenzhen, 253.66 ,,PAID
SO2026299,15/01/2026,Guangzhou City,692.92 RMB,6.0,PAID
SO2026300,25/04/2026,Guangzhou,0.4 thousand CNY,,N/A
SO2026301,2026-03-24,Guangzhou City,0.1 thousand CNY,1.0,Not Applicable
SO2026302,2026-03-03,Guangzhou,355.85 RMB,7.0,paid
SO2026303,02/02/2026,Shenzhen, 917.75 ,4.0,unpaid
SO2026304,2026-02-24, Shenzhen,¥419.96,3.0,paid
SO2026305,20260104,Shenzhen,0.9 thousand CNY,3.0,PAID
SO2026306,2026-02-03,Shenzhen,1101.83 RMB,1.0,paid
SO2026306,20260107,shenzhen,0.8 thousand CNY,1.0,-
SO2026308,02/03/2026, Shenzhen,¥439.89,,unpaid
SO2026309,2026-03-08,Guang Zhou,¥281.03,4.0,N/A
SO2026310,30/01/2026,shenzhen, 438.83 ,,N/A
SO2026311,20260215,Shenzhen,0.9 thousand CNY,1.0,unpaid
SO2026312,04/01/2026,shenzhen,778.36 RMB,,Not Applicable
SO2026313,08/04/2026,Guangzhou,¥459.27,8.0,PAID
SO2026314,2026-03-24,shenzhen,143.13 RMB,8.0,PAID
SO2026315,20260304,Shenzhen,¥754.70,11.0,PAID
SO2026316,20260315,SHENZHEN ,1085.09 RMB,10.0,unpaid
SO2026317,20260426, Shenzhen,3612.48 RMB,4.0,unpaid
SO2026318,04/01/2026, Shenzhen," 1,758.51 ",,-
SO2026319,30/01/2026,SHENZHEN ,980.00 RMB,8.0,N/A
SO2026320,20260310,Guangzhou,¥188.46,1.0,Paid
SO2026321,30/03/2026,Shenzhen, 232.07 ,6.0,Paid
SO2026322,20260103,Guangzhou City,0.2 thousand CNY,11.0,Paid
SO2026323,2026-04-12,Guangzhou City," 1,137.05 ",2.0,N/A
SO2026324,20260420,shenzhen,"¥1,456.23",5.0,Paid
SO2026325,2026-03-25,SHENZHEN , 658.95 ,,Paid
SO2026325,2026-04-15,Guangzhou City,380.86 RMB,9.0,Not Applicable
SO2026327,18/04/2026, Shenzhen,¥366.37,11.0,Not Applicable
SO2026328,2026-01-23,SHENZHEN ,150.08 RMB,4.0,Paid
SO2026329,25/02/2026, Shenzhen,746.55 RMB,6.0,N/A
SO2026330,09/01/2026,SHENZHEN , 233.53 ,4.0,Paid
SO2026331,20260123, Shenzhen,0.1 thousand CNY,,paid
SO2026332,2026-04-22,Guangzhou City,666.88 RMB,5.0,Paid
SO2026333,2026-03-31,shenzhen,1195.89 RMB,8.0,N/A
SO2026334,07/02/2026,SHENZHEN ,¥252.97,11.0,paid
SO2026335,2026-02-22, Shenzhen, 359.14 ,2.0,N/A
SO2026336,20260430,Guang Zhou, 167.40 ,4.0,PAID
SO2026337,14/02/2026,Shenzhen,¥522.40,4.0,unpaid
SO2026338,20260403,Shenzhen,¥212.60,5.0,PAID
SO2026339,2026-04-14,Shenzhen,630.17 RMB,5.0,N/A
SO2026340,2026-04-23,Guangzhou,"¥1,373.25",,unpaid
SO2026341,20260226, Shenzhen,124.02 RMB,1.0,paid
SO2026342,2026-04-21,Shenzhen,0.9 thousand CNY,9.0,N/A
SO2026343,20260409,shenzhen,"¥1,094.31",5.0,Paid
SO2026344,20260330,Guangzhou,0.4 thousand CNY,,Not Applicable
SO2026345,20260213,Guangzhou," 3,836.68 ",4.0,PAID
SO2026346,2026-03-20,Guangzhou City,¥583.75,9.0,PAID
SO2026347,20260225,SHENZHEN , 402.10 ,5.0,-
SO2026348,20260120,shenzhen,0.4 thousand CNY,3.0,Not Applicable
SO2026349,20260414,shenzhen,"¥1,480.71",3.0,-
SO2026350,20260418,Guangzhou,0.2 thousand CNY,10.0,Paid
SO2026351,26/02/2026,shenzhen,0.2 thousand CNY,,N/A
SO2026352,20260425,Guangzhou,0.2 thousand CNY,11.0,PAID
SO2026353,27/04/2026,shenzhen,464.74 RMB,8.0,-
SO2026354,2026-04-10, Shenzhen, 934.68 ,9.0,N/A
SO2026355,01/02/2026,Shenzhen, 536.61 ,1.0,-
SO2026356,20260419,SHENZHEN , 538.50 ,11.0,N/A
SO2026357,25/04/2026,Shenzhen,"¥1,211.64",8.0,PAID
SO2026358,20260101,Guangzhou City,¥273.29,11.0,Not Applicable
SO2026359,20260417,Guangzhou, 738.06 ,8.0,Paid
SO2026359,2026-02-21,Shenzhen, 336.08 ,11.0,paid
SO2026361,17/02/2026,SHENZHEN ,503.64 RMB,11.0,-
SO2026362,26/01/2026,Guangzhou,¥409.34,,Not Applicable
SO2026363,2026-01-08,Shenzhen,¥323.03,10.0,unpaid
SO2026364,20260127,Guangzhou,469.22 RMB,5.0,paid
SO2026365,20260314, Shenzhen,873.65 RMB,,Not Applicable
SO2026366,2026-01-05,Guang Zhou,2721.50 RMB,3.0,-
SO2026367,27/02/2026,Guangzhou,¥625.44,8.0,N/A
SO2026368,20260321, Shenzhen,¥135.41,,Not Applicable
SO2026369,19/02/2026,Guang Zhou,0.3 thousand CNY,4.0,paid
SO2026370,20260309, Shenzhen,0.2 thousand CNY,,Not Applicable
SO2026371,2026-04-09,Shenzhen,1148.88 RMB,3.0,-
SO2026372,20260202,SHENZHEN ,0.1 thousand CNY,10.0,N/A
SO2026373,2026-03-20,SHENZHEN ,¥770.57,2.0,paid
SO2026374,20260328,SHENZHEN ,691.99 RMB,5.0,-
SO2026375,20260321,Guang Zhou, 806.48 ,3.0,N/A
SO2026376,22/02/2026,Guangzhou City," 1,381.31 ",3.0,N/A
SO2026377,20260107,SHENZHEN ,597.17 RMB,7.0,-
SO2026378,30/04/2026,Shenzhen," 1,000.53 ",8.0,N/A
SO2026379,2026-01-24,SHENZHEN ,177.84 RMB,,unpaid
SO2026380,07/02/2026,SHENZHEN , 478.42 ,9.0,-
SO2026381,02/02/2026,Shenzhen,0.3 thousand CNY,,N/A
SO2026382,2026-04-24, Shenzhen,1445.43 RMB,7.0,PAID
SO2026383,05/04/2026, Shenzhen,0.8 thousand CNY,5.0,Not Applicable
SO2026384,23/04/2026,shenzhen,¥430.61,,Paid
SO2026385,24/01/2026,Guangzhou,¥754.06,10.0,Paid
SO2026386,23/01/2026,Guangzhou City,267.38 RMB,2.0,paid
SO2026387,2026-02-28,SHENZHEN ,¥265.80,6.0,paid
SO2026388,13/04/2026,Guang Zhou,297.80 RMB,5.0,unpaid
SO2026389,20260307,Guang Zhou,0.4 thousand CNY,9.0,PAID
SO2026390,20260316,Guangzhou,1814.41 RMB,10.0,paid
SO2026391,2026-01-09,Guangzhou City,0.3 thousand CNY,11.0,Paid
SO2026392,2026-04-24,Shenzhen,"¥1,355.03",7.0,Paid
SO2026393,20260324,Guangzhou City,0.6 thousand CNY,1.0,paid
SO2026394,2026-02-23,Shenzhen, 119.10 ,9.0,paid
