age,hours,edu,income
49,48.3,0,27.6
56,33.0,0,24.22
24,46.0,0,28.98
41,48.6,0,26.78
49,53.8,1,29.89
56,54.0,1,
24,35.5,1,
25,38.2,1,
53,35.8,1,
55,43.9,0,27.87
31,34.7,1,
29,42.1,1,23.6
28,40.4,1,27.07
57,52.9,2,
42,48.0,0,28.26
28,55.2,1,26.85
46,51.1,2,33.7
52,57.3,1,30.43
42,41.2,0,26.1
54,43.0,1,31.82
51,46.1,0,29.9
24,58.4,0,31.64
52,48.7,1,30.3
39,37.6,1,24.31
26,47.6,2,
56,42.7,2,28.73
39,51.4,1,29.67
43,36.7,1,25.71
27,39.4,0,
29,47.7,0,25.17
37,32.3,0,
31,41.8,1,24.71
53,46.1,2,
27,38.0,0,27.05
52,35.2,0,24.93
32,42.2,2,24.87
50,42.1,2,25.23
28,34.4,1,
44,36.3,1,26.02
31,43.7,1,26.88
57,31.0,1,24.23
39,46.3,2,
26,42.7,0,
31,41.5,0,20.84
44,40.6,0,30.88
25,37.5,1,29.44
24,40.1,2,28.87
46,56.2,0,33.31
53,42.4,1,27.91
28,43.1,0,22.11
26,45.4,1,
49,46.7,0,27.52
48,40.8,1,
48,50.0,2,
50,40.8,2,
38,50.6,0,34.62
31,40.4,0,23.88
57,45.4,2,
34,51.2,2,
24,48.4,0,26.89
32,43.1,0,28.66
47,44.9,2,
24,39.0,1,22.67
27,44.3,0,
41,48.3,0,27.72
25,42.1,0,24.69
42,45.7,0,29.94
49,43.7,1,26.34
32,39.7,0,22.72
46,30.3,0,24.23
56,43.4,1,31.59
35,42.5,1,22.26
31,39.5,1,26.36
25,35.6,1,18.11
47,26.6,2,
35,34.2,1,25.85
29,43.0,1,30.3
47,40.4,1,
30,46.4,1,
31,33.2,1,21.59
44,34.7,0,25.27
49,42.7,1,32.37
43,42.6,0,
41,36.3,0,23.37
49,33.5,0,25.58
23,43.0,1,
38,47.2,0,26.21
38,39.9,1,23.74
55,38.6,0,25.15
36,52.7,2,
41,42.8,0,28.76
40,47.9,1,32.99
53,34.8,0,27.61
30,43.0,2,27.83
49,44.0,1,30.56
32,46.9,2,31.46
32,45.0,0,28.59
50,39.1,2,27.95
52,47.2,0,32.72
23,41.9,2,24.88
40,33.0,2,25.0
44,33.7,1,25.07
48,42.5,0,31.75
24,33.7,1,22.46
31,36.0,1,
23,39.7,2,
44,44.1,2,
31,46.1,0,26.89
54,45.6,2,31.42
55,38.0,0,26.32
26,46.7,1,
28,58.2,0,28.59
44,37.7,1,
57,35.8,1,27.0
51,48.1,0,32.42
40,39.8,1,
57,40.3,0,30.12
34,53.3,2,
23,40.1,0,25.54
52,48.9,0,
28,52.5,2,
24,34.8,2,
44,36.2,2,
47,45.9,1,29.68
49,44.7,2,
23,39.1,1,
55,36.2,0,27.18
54,38.8,2,
45,38.0,0,28.26
42,43.9,2,
26,41.8,0,21.26
34,41.2,0,26.1
40,39.3,0,30.61
48,55.3,2,
34,49.9,0,31.93
40,41.4,1,
31,38.3,1,25.55
33,41.5,0,27.11
38,38.5,1,28.41
23,40.7,1,
50,48.3,1,27.55
52,42.0,0,27.08
52,38.8,0,27.63
44,38.4,1,27.1
46,44.4,0,27.37
33,47.4,1,27.71
43,48.2,1,32.85
54,46.0,2,29.66
38,46.3,2,28.77
45,50.1,1,31.05
49,43.8,1,
37,40.6,0,27.47
44,45.0,0,29.05
26,52.6,2,31.34
45,46.1,2,
45,40.7,0,27.13
35,43.4,0,27.92
45,48.8,1,25.7
50,24.1,0,26.86
40,42.8,2,
29,33.9,0,26.16
45,40.5,1,30.48
41,44.5,2,
49,38.3,0,26.6
35,46.1,0,30.14
31,37.9,0,22.85
39,50.1,0,30.72
43,32.5,0,
42,53.9,1,32.7
36,44.2,1,24.65
40,39.4,1,25.93
37,40.0,2,28.42
25,51.6,1,29.39
41,44.9,1,29.62
40,41.4,0,28.71
45,44.7,0,
25,33.5,1,22.8
44,36.5,2,28.48
52,33.6,0,25.78
30,24.5,0,24.46
41,38.8,1,23.65
29,46.2,1,
47,51.6,0,29.25
26,40.7,2,27.61
49,41.9,1,
38,37.4,1,29.6
33,49.9,2,27.21
46,27.6,1,24.31
25,46.1,0,32.73
23,33.6,1,
26,30.4,0,24.33
43,25.3,2,
37,45.2,0,
44,46.2,1,26.95
39,51.9,0,28.46
30,38.9,0,24.15
33,45.7,1,
53,43.0,0,31.16
54,39.4,0,26.81
48,33.9,0,25.51
49,48.0,2,26.2
47,44.7,1,32.56
32,45.5,1,29.07
49,44.3,1,27.13
49,44.3,1,25.11
53,37.7,2,26.98
38,39.8,0,28.34
41,36.7,0,25.87
54,42.6,0,26.1
52,51.0,0,
35,42.7,0,
49,27.0,0,25.37
26,53.0,1,31.47
35,51.0,1,
44,49.3,2,
54,42.4,0,30.55
35,51.7,1,24.07
32,35.4,2,24.34
26,46.3,1,26.07
28,54.5,0,23.79
43,38.9,1,27.5
52,48.3,0,28.63
28,51.6,1,26.57
51,44.6,1,31.02
39,44.7,1,25.12
28,36.8,2,24.18
49,48.9,1,31.36
40,35.9,1,25.66
52,48.8,1,31.98
24,44.9,1,25.86
34,39.9,1,23.75
54,40.5,2,28.43
38,31.2,0,24.42
37,42.1,1,30.54
26,50.6,0,32.89
50,41.4,2,25.32
38,35.7,1,27.77
27,49.7,1,29.74
36,39.1,0,
31,52.9,1,31.06
25,45.0,0,24.21
52,35.9,1,27.21
37,31.1,2,
40,48.3,1,24.7
41,34.0,2,
38,44.8,0,
55,31.4,1,27.39
43,35.4,1,22.22
39,54.2,1,30.6
39,46.6,0,28.59
34,40.8,2,26.07
31,51.7,1,32.23
44,42.2,2,26.64
41,45.9,0,24.76
40,46.4,0,31.91
40,33.9,1,29.12
42,43.0,0,29.66
52,30.1,0,26.33
31,36.6,1,
52,39.1,0,25.57
54,50.7,0,23.6
29,40.2,1,
54,53.4,1,
53,36.0,2,
30,44.0,1,31.38
35,41.6,0,26.23
37,36.2,1,26.41
33,40.3,0,
23,48.4,0,30.56
36,45.7,1,
54,47.0,0,31.85
30,37.1,0,24.86
52,49.4,0,31.11
32,39.5,0,
42,45.5,0,
32,39.8,1,27.06
26,43.6,1,
55,43.0,1,
50,46.3,1,31.82
41,45.6,1,
57,40.5,1,29.21
43,43.5,0,29.1
51,46.4,1,30.77
53,38.2,1,22.3
31,28.1,0,25.21
44,46.8,1,
23,37.1,0,
34,49.2,2,33.64
48,47.4,1,32.68
30,45.9,1,30.1
23,45.9,1,23.24
30,42.6,2,30.01
44,45.6,2,
39,52.0,1,31.58
36,44.6,2,
35,50.1,1,29.33
48,32.3,2,
36,45.0,0,29.67
28,32.3,0,24.32
38,40.4,2,
53,41.6,1,30.13
34,35.7,1,30.26
49,48.5,1,29.12
26,40.7,2,
47,41.5,0,27.16
46,38.3,1,26.53
37,27.4,0,20.22
56,34.5,1,
38,41.2,1,
45,41.8,2,
45,46.9,0,30.08
46,37.3,0,26.08
43,33.4,0,28.56
50,40.7,0,28.76
44,46.0,1,
33,33.5,0,22.31
28,51.0,0,28.72
51,46.6,0,32.33
41,32.0,1,22.76
48,49.2,0,32.86
37,43.0,2,29.1
25,48.4,0,27.76
50,41.8,0,23.84
39,41.9,2,32.3
24,45.6,0,29.04
53,43.7,1,30.8
54,34.9,2,
33,36.4,0,24.05
41,41.8,0,26.34
57,47.5,0,29.2
24,50.6,1,28.54
27,35.8,1,25.49
38,44.2,0,27.99
35,42.7,0,27.94
49,41.2,1,
42,50.3,1,32.44
43,49.7,1,
57,43.4,1,29.35
39,44.3,0,25.29
37,39.6,1,26.82
35,43.7,0,25.72
31,47.1,1,
55,40.8,1,
32,38.9,1,
42,46.0,0,30.43
41,46.4,0,31.47
40,45.4,2,29.78
29,45.5,2,
23,41.8,0,23.75
43,48.7,0,28.74
26,47.2,0,23.19
56,25.8,1,24.73
43,35.2,1,26.25
29,38.8,2,
25,38.8,0,29.19
40,41.5,2,27.22
41,44.1,0,28.79
29,35.1,2,27.41
34,38.5,1,
51,45.8,0,29.88
55,33.3,1,25.3
39,38.9,0,
25,41.3,1,30.39
23,27.0,0,17.16
32,45.2,2,
33,38.4,2,
39,42.7,1,27.62
31,42.3,0,
49,54.1,2,
52,46.5,0,
29,41.1,0,26.3
38,42.2,1,
37,37.5,1,26.37
42,34.7,1,25.19
35,35.6,0,26.2
54,39.5,0,29.89
48,39.5,0,25.64
37,32.4,0,26.25
53,51.2,1,
55,47.0,1,24.88
43,45.8,0,24.8
40,31.8,0,24.06
46,40.9,0,27.8
52,36.0,0,28.15
55,33.1,1,25.13
24,31.7,0,19.4
28,47.5,2,
23,44.8,1,
35,41.6,0,27.77
45,49.8,1,29.65
28,50.8,2,27.99
52,52.0,1,30.37
34,37.5,0,27.52
43,41.7,1,25.71
56,46.7,1,
26,36.6,1,21.69
37,36.9,1,26.16
40,36.7,0,24.66
28,54.2,0,35.99
55,51.0,2,
50,34.4,0,23.22
33,45.6,1,
45,37.2,0,22.36
26,41.6,1,23.51
38,40.4,0,25.66
55,43.2,1,26.54
51,45.6,1,28.76
24,37.4,1,
48,45.1,1,
35,23.5,0,22.74
25,45.6,0,21.36
41,44.6,1,29.31
40,37.6,2,28.9
23,35.0,2,26.29
27,52.7,0,32.33
40,39.3,2,
23,39.8,0,25.72
42,37.7,0,28.27
57,33.1,0,22.09
55,57.2,1,36.22
25,39.4,1,
36,41.1,1,28.66
24,42.1,0,26.62
34,39.4,0,29.98
42,37.6,0,23.54
24,42.2,0,26.06
36,34.3,1,27.45
53,57.5,1,35.48
55,40.9,2,
47,36.6,1,25.2
45,37.1,1,28.28
57,54.2,0,26.8
40,43.5,1,29.09
33,43.1,0,28.31
30,44.0,0,24.46
44,31.3,0,23.4
32,38.5,0,25.54
52,33.0,1,
25,50.0,1,29.59
44,45.2,0,24.66
26,46.6,1,25.96
24,39.8,1,22.43
33,41.2,1,27.07
27,42.4,0,29.44
33,34.0,1,25.57
43,43.7,1,24.2
53,42.4,2,32.19
55,38.0,2,
47,49.0,2,
43,46.6,1,25.49
57,47.3,0,29.4
56,39.7,0,28.03
51,45.2,0,26.75
30,34.4,1,22.83
55,43.9,2,29.99
38,41.1,0,23.52
47,50.0,1,
41,46.7,0,28.03
47,46.5,1,31.04
51,47.6,0,26.38
26,31.2,0,
26,44.4,0,28.98
55,38.5,0,25.93
38,40.2,1,28.75
56,38.2,0,23.17
42,42.8,2,30.87
55,44.2,1,31.33
32,43.7,0,30.59
26,41.9,1,28.41
30,39.4,2,
48,43.4,0,32.63
36,52.2,1,30.01
36,45.2,1,
30,40.4,0,29.21
29,58.5,2,
54,39.8,0,26.06
30,41.7,2,
25,43.7,1,30.02
39,42.1,2,29.22
49,42.1,0,28.51
45,46.0,0,24.41
37,36.3,1,26.59
35,41.3,0,26.03
35,43.2,1,26.15
30,47.1,1,27.89
47,46.4,1,
24,50.4,0,27.18
33,34.0,1,29.18
50,23.5,1,
28,40.1,0,26.9
44,55.8,0,32.95
49,40.4,1,29.03
41,45.7,0,29.33
56,42.4,2,
27,36.3,0,25.08
52,39.0,1,28.42
28,32.6,1,24.85
26,42.6,1,25.02
44,43.2,0,30.32
56,32.6,0,
27,46.9,2,29.69
35,42.3,1,
45,40.3,1,25.91
46,52.9,0,
51,45.0,0,24.81
30,44.8,1,32.06
47,37.6,1,31.18
46,36.8,1,24.42
55,48.9,1,
37,31.2,1,22.99
54,44.4,1,35.76
28,38.2,1,28.45
24,37.2,0,25.75
26,43.4,0,30.99
42,40.6,0,25.86
45,44.2,0,25.46
26,45.6,0,28.4
56,29.1,0,23.66
50,50.2,1,21.9
30,33.4,2,22.75
52,39.1,1,24.44
57,40.5,1,26.93
36,46.5,1,28.87
37,42.0,1,26.54
48,48.0,1,26.71
43,33.7,1,
46,49.3,1,
54,48.9,0,24.59
28,35.1,1,
43,54.0,0,31.28
54,31.6,2,
24,46.0,0,23.67
41,40.2,0,26.35
53,50.7,1,28.21
54,42.3,1,26.52
41,47.0,1,23.55
32,44.3,1,27.05
30,57.2,1,29.97
46,42.8,0,26.49
35,37.5,1,
44,48.1,0,33.19
